be_matched_ingredient,matched_grocery,price_list,avg_mid_price
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
large bunch of basil,"][extra large red seedless grapes, 86][extra large green seedless grapes, 86][extra large red seedless grape, 86][organic basil, 86][kale bunch, 86","[3.59, 3.79, 2.39, 2.49, 0.99]",2.82
medium cloves of garlic,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86][lemon garlic chicken breast cutlets, 86","[3.99, 3.69, 4.99, 4.99, 7.99]",4.66
one small handful of raw pine nuts,"][pine nuts, 90][raw pine nuts, 90][hearts of romaine, 86][gt's synergy gingerberry organic vegan raw kombucha, 86][gt's synergy organic california citrus raw kombucha, 86","[3.19, 8.99, 2.99, 3.39, 3.39]",3.32
roughly 3/4 cup Parmesan,"][follow your heart dairy-free shredded parmesan, 86][boneless & skinless chicken breasts1.65-3.975 lbs, 86][boneless skinless chicken breast1.5-3.2lbs, 86][perdue boneless & skinless antibiotic free chicken breast1.3-2.4 lbs, 86][perdue chicken breast tenderloins antibiotic free0.8-1.4 lbs, 86","[4.99, 11.89, 9.57, 11.98, 6.99]",9.48
A few tablespoons of extra-virgin olive oil,"][extra virgin olive oil, 90][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][extra large red grapes, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[4.79, 2.49, 2.49, 6.99, 2.49]",3.26
/ 6 1/2 oz / 185g orange peel (from ~10 oranges),"][navel orange, 86][navel oranges, 86][organic navel oranges, 86][orange bell pepper, 86][organic orange juice, 86","[0.75, 1.223185153177305, 1.7447992909927867, 1.49, 3.9902023771281723]",1.49
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
/ 100g peeled garlic cloves,"][crunch pak disney foodles peeled apples, cheese & crackers, 86][spice world premium minced squeeze garlic, 86][love beets organic cooked & peeled beets, 86][tessemae's organic lemon garlic dressing, 86][boneless & skinless garlic herb seasoned chicken breastfrozen, 86","[3.3629287066234337, 1.9450167597869077, 1.9859272810647615, 2.395321487142205, 1.1720669676713873]",2.11
orange juice,"][orange juice, 100][organic orange juice, 90][pulp free 100% orange juice from concentrate, 90][pulp free 100% orange juice not from concentrate w/ calcium & vitamin d, 90][tropicana pure premium no pulp orange juice, 90","[0.7225366459837355, 5.320269836170897, 0.6975353779566166, 1.1662129947419142, 1.1354422033239218]",1.01
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
/ ~2 cups Meyer lemon peel (from ~20 lemons),"][lemon, 90][tropicana premium lemons, 86][organic lemons, 86][suja organic elevated nutrients energized focus raspberry lemon, 86][tyson trimmed & ready boneless & skinless chicken breast1-2.11lbs, 86","[0.55, 1.0876514576976666, 1.0622982768655533, 3.234032720735343, 10.53]",1.79
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
/ 75g peeled garlic cloves,"][crunch pak disney foodles peeled apples, cheese & crackers, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][love beets organic cooked & peeled beets, 86][tessemae's organic lemon garlic dressing, 86","[2.802440588852862, 1.0406202049418862, 1.6208472998224233, 1.6549394008873013, 1.996101239285171]",1.76
freshly squeezed Meyer lemon juice,"][lemon, 90][naked juice guava, 86][naked green machine all natural fruit + boosts juice smoothie, 86][suja organic elevated nutrients energized focus raspberry lemon, 86][organic orange juice, 86","[0.55, 0.4405486597620736, 0.45956950879111386, 0.9980506196425852, 0.7980404754256344]",0.6
extra virgin olive oil,"][extra virgin olive oil, 100][bertolli extra virgin olive oil, 95][organic extra virgin olive oil, 95][goya extra virgin olive oil, 95][bartenura extra virgin olive oil, 95","[4.79, 8.19, 6.99, 7.99, 9.59]",7.72
Meyer Lemon Peel  (from 8-10 lemons),"][lemon, 90][organic lemons, 86][suja organic elevated nutrients energized focus raspberry lemon, 86][perdue chicken breast tenderloins antibiotic free0.8-1.4 lbs, 86][foster farms free range boneless & skinless thin sliced chicken breasts0.8-2.8lbs, 86","[0.55, 0.46186881602850144, 1.40610118292841, 6.99, 16.77]",2.98
sugar,"][sugar snap peas, 90][organic sugar snap peas, 90][humm zero sugar peach tea kombucha, 90][humm zero sugar blood orange kombucha, 90][suja low sugar refreshers pack, 90","[0.1820667031164571, 0.214695144535177, 0.13603087530759264, 0.13603087530759264, 2.5022401812433426]",0.18
A few small rose geranium leaves,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
freshly squeezed Meyer lemon juice,"][lemon, 90][naked juice guava, 86][naked green machine all natural fruit + boosts juice smoothie, 86][suja organic elevated nutrients energized focus raspberry lemon, 86][organic orange juice, 86","[0.55, 0.4405486597620736, 0.45956950879111386, 0.9980506196425852, 0.7980404754256344]",0.6
/ 6 1/2 oz / 185g orange peel (from ~10 oranges),"][navel orange, 86][navel oranges, 86][organic navel oranges, 86][orange bell pepper, 86][organic orange juice, 86","[0.75, 1.223185153177305, 1.7447992909927867, 1.49, 3.9902023771281723]",1.49
sugar,"][sugar snap peas, 90][organic sugar snap peas, 90][humm zero sugar peach tea kombucha, 90][humm zero sugar blood orange kombucha, 90][suja low sugar refreshers pack, 90","[0.1820667031164571, 0.214695144535177, 0.13603087530759264, 0.13603087530759264, 2.5022401812433426]",0.18
freshly squeezed orange juice,"][orange juice, 90][navel orange, 86][orange bell pepper, 86][naked juice guava, 86][naked juice pina colada juice vegan smoothie, 86","[0.04519671327370788, 0.75, 1.49, 0.18371710804391914, 0.18371710804391914]",0.37
/ 16 ounces / 450 g of the best quality,"][hearts of romaine, 86][earth's best kidz all natural baked frozen chicken nuggets, 86][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][kretschmar off the bone black angus roast beefdeli fresh sliced, 86][kretschmar pan roasted off the bone turkey breastdeli fresh sliced, 86","[5.315649305984233, 6.990123282597577, 34.95, 12.99, 9.99]",9.99
a sampling of seasonal vegetables,"][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86][once upon a farm organic coco for mangoes kids' dairy-free smoothie, 86","[2.49, 2.49, 2.49, 2.49, 2.49]",2.49
flaky sea salt,"][morton's of omaha usda choice salt & pepper beef brisket2.33-5lbs, 86][hormel sliced cured salt pork, 86][oscar mayer smoked uncured turkey bacon with sea salt, 86][sea cuisine honey chipotle salmonfrozen, 86][sea cuisine pan sear teriyaki sesame salmonfrozen, 86","[34.95, 3.99, 3.99, 7.99, 7.99]",6.66
to finish: good olive oil,"][good foods plant based tzatziki style dip, 86][good foods plant based queso style dip, 86][good foods plant based buffalo style dip, 86][good foods plant based spicy queso blanco style dip, 86][esse water essential oil enhanced lemon water, 86","[4.99, 7.69, 4.99, 5.99, 2.99]",5.32
/ 150 g leeks,"][leek, 90][g.h. mumm brut cordon rouge champagne, 86][gatorade g zero berry sports drink, 86][gatorade g zero glacier cherry sports drink, 86][gatorade g zero glacier freeze sports drink, 86","[3.19, 9.464773333333335, 0.22307414859023564, 0.22307414859023564, 0.22307414859023564]",1.21
/ 200g fennel bulb,"][traditional medicinals fennel organic tea, 86][fennel seed, 67][forto vanilla latte 200mg caffeine shot, 56][organic fennel seed, 52][encore seafoods salmon florentine burgers, 50","[10.59, 23.01739941465925, 7.3608467039748415, 17.487345455828144, 6.127145099560838]",11.81
/ 200g carrot,"][baby-cut carrot snack pack, 86][bolthouse farms carrot juice, 86][health-ade organic vegan blood orange carrot ginger kombucha, 86][naked immune support orange carrot juice smoothie, 86][bolthouse farms carrot ginger turmeric juice, 86","[4.651604672627972, 0.6838580798037744, 1.4662873856662215, 1.2338838202409161, 1.1896585937089836]",1.3
/ 100 g celery,"][celery, 90][organic celery hearts, 86][green giant celery bunch, 86][pom wonderful 100% pomegranate juice, 86][suja organic cold-pressed celery juice, 86","[0.3265181043757385, 0.6113996719518863, 1.49, 0.7297350923296707, 1.1175714744619338]",0.82
/ 100g celery root (celeriac),"][celery, 90][celery sticks, 86][celery hearts, 86][organic celery, 86][olipop classic root beer sparkling tonic, 86","[0.3265181043757385, 0.5241820843401118, 0.5018298382687525, 1.99, 0.6974318224085752]",0.57
/ 30g sun-dried tomatoes,"][roma tomatoes, 86][globe tomatoes, 86][hawaiian sun green tea with ginseng, 86][hawaiian sun pineapple-orange nectar, 86][sun king orange vanilla sunlight cream ale beer, 86","[0.09955202031781867, 1.99, 0.04857266701999905, 0.04857266701999905, 0.13324428965120802]",0.09
/ 100g shallots,"][shallots, 90][better oats 100 calories maple & brown sugar whole grain instant oatmeal with flax, 56][lucky charms marshmallows only cereal4oz, 56][boursin shallot & chive cheese, 56][arnold 100% health nut bread, 56","[2.99, 3.19, 3.99, 3.364636738946692, 0.6851766932985298]",3.18
medium garlic cloves,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86","[3.99, 3.69, 1.59, 4.99, 4.99]",4.22
/ 250g fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[4.197463800067021, 1.6446486011125903, 2.5717158024958873, 2.6395211008404336, 2.5717158024958873]",2.59
/ 40 g flat-leaf parsley,"][garlic parsley mini creamer potatoes, 86][washed & trimmed green leaf lettuce, 86][greenhouse grown green leaf lettuce, 86][turning leaf vineyards chardonnay white wine, 86][flat top hills sauvignon blanc white wine, 86","[0.3747288311963174, 0.6418556134776879, 1.1654056214983215, 0.39703199999999994, 0.7662319999999999]",0.6
/ 60g cilantro (coriander),"][coriander, 90][cilantro bunch, 86][good foods plant based cilantro dip, 86][double take cilantro avocado hot sauce, 86][hormel herdez taqueria sauce avocado cilantro, 86","[7.974179438790808, 1.39, 1.2497222173230569, 2.4002680823294944, 0.6656280436064912]",1.68
/ 100 grams extra virgin coconut oil,"][extra large red grapes, 86][kevita mojita lime mint coconut sparkling probiotic drink, 86][kevita strawberry acai coconut sparkling probiotic drink, 86][organic 100% grassfed top sirloin steak0.375-0.75 lbs., 86][kretschmar extra lean black forest brand hamdeli fresh sliced, 86","[0.5105954249634033, 0.6611671366523906, 0.6611671366523906, 11.24, 9.99]",3.77
~1 ounce / 35 grams beeswax,"][tyson trimmed & ready chicken tenderloins1.25-2.1 lbs, 86][smart chicken organic boneless & skinless chicken breast0.75-1.75lbs, 86][smart chicken organic chicken tenderloins0.75-1.75lbs, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86][tyson trimmed & ready boneless & skinless thin sliced chicken breasts0.76-1.988 lbs, 86","[11.11, 19.23, 19.23, 16.49, 10.51]",15.61
medium garlic clove,"][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86][tessemae's organic lemon garlic dressing, 86][cleveland kraut dijon garlic dressing, 86","[3.99, 3.69, 1.59, 4.99, 4.99]",4.22
salt,"][hormel sliced cured salt pork, 90][shiner sea salt & lime beer, 90][sea salt caramel hot cocoa mix, 90][swiss miss salted caramel, 90][salted butter, 90","[3.99, 15.99, 4.99, 2.19, 2.99]",3.99
ripe avocados,"][avocado, 90][avocados, 90][organic hass avocados, 86][smallvocados mini hass avocados, 86][early california sliced ripe olives, 86","[0.89, 2.99, 4.99, 2.29, 4.49]",3.26
medium white onion,"][white onion, 90][yellow onion, 86][red onion, 86][giorgio fresh whole white mushrooms, 86][french onion cashew plant based dip + spread, 86","[0.99, 0.95, 0.99, 1.89, 4.29]",1.29
a squeeze of fresh lime juice,"][lime, 90][once upon a farm organic wild rumpus avocado fruit & veggie blend, 86][once upon a farm organic ohmymega veggie! fruit & veggie blend, 86][once upon a farm organic green kale & apples fruit & veggie blend, 86][once upon a farm organic berry berry kids' dairy-free smoothie, 86","[0.49, 2.49, 2.49, 2.49, 2.49]",2.49
Artichokes,"][poshi gluten free and vegan freshly marinated artichokes with basil & thyme, 90][real good frozen stuffed chicken spinach & artichoke, 81][quartered artichoke hearts, 81][spinach artichoke dip, 81][sabra spinach and artichoke hummus, 81","[1.79, 5.99, 1.99, 3.99, 3.49]",3.16
lemon,"][lemon, 100][tropicana premium lemons, 90][organic lemons, 90][tessemae's organic lemon garlic dressing, 90][concord foods reconstituted lemon juice, 90","[0.55, 4.29, 4.19, 4.99, 0.95]",3.14
Extra virgin olive oil or clarified butter,"][extra virgin olive oil, 90][extra large red grapes, 86][extra large green grapes, 86][butter lettuce blend, 86][butter lettuce head, 86","[4.79, 6.99, 7.39, 2.99, 3.19]",4.99
sea salt,"][oscar mayer smoked uncured turkey bacon with sea salt, 90][shiner sea salt & lime beer, 90][cameron's coffee sea salt caramel light roast ground coffee, 90][sea salt caramel hot cocoa mix, 90][larabar chocolate sea salt brownie snack bar, 90","[0.28404541365969266, 0.08335587603766888, 0.3423539215859187, 0.4884477680382371, 0.7329163653679961]",0.37
